# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
1000000,-1193419,-1193419,-1193419.0,-2e-06,-1.193419
2000000,-1188816,-2382235,-1191117.5,-2e-06,-1.1911175
3000000,-1193473,-3575708,-1191902.6666666667,1e-06,-1.1919026666666668
4000000,-1191630,-4767338,-1191834.5,-2e-06,-1.1918345
5000000,-1190481,-5957819,-1191563.8,-2e-06,-1.1915638
6000000,-1188454,-7146273,-1191045.5,-2e-06,-1.1910455
7000000,-1188937,-8335210,-1190744.2857142857,-2e-06,-1.1907442857142858
8000000,-1187410,-9522620,-1190327.5,-2e-06,-1.1903275
9000000,-1190522,-10713142,-1190349.111111111,-2e-06,-1.190349111111111
10000000,-1189021,-11902163,-1190216.3,-2e-06,-1.1902163
11000000,-1190995,-13093158,-1190287.0909090908,-2e-06,-1.190287090909091
12000000,-1189460,-14282618,-1190218.1666666667,-2e-06,-1.1902181666666667
13000000,-1190759,-15473377,-1190259.7692307692,0.0,-1.1902597692307693
14000000,-1191759,-16665136,-1190366.857142857,-2e-06,-1.1903668571428572
15000000,-1189933,-17855069,-1190337.9333333333,-2e-06,-1.1903379333333333
16000000,-1187318,-19042387,-1190149.1875,-2e-06,-1.1901491875
17000000,-1187931,-20230318,-1190018.705882353,-2e-06,-1.190018705882353
18000000,-1188378,-21418696,-1189927.5555555555,0.0,-1.1899275555555555
19000000,-1189033,-22607729,-1189880.4736842106,-2e-06,-1.1898804736842106
20000000,-1188904,-23796633,-1189831.65,-2e-06,-1.18983165
21000000,-1189115,-24985748,-1189797.5238095238,0.0,-1.1897975238095237
22000000,-1189844,-26175592,-1189799.6363636365,-2e-06,-1.1897996363636363
23000000,-1189256,-27364848,-1189776.0,-2e-06,-1.189776
24000000,-1189227,-28554075,-1189753.125,-2e-06,-1.189753125
25000000,-1186748,-29740823,-1189632.92,-2e-06,-1.18963292
26000000,-1187712,-30928535,-1189559.0384615385,-2e-06,-1.1895590384615384
27000000,-1187238,-32115773,-1189473.0740740742,-2e-06,-1.189473074074074
28000000,-1188044,-33303817,-1189422.0357142857,-2e-06,-1.1894220357142857
29000000,-1192044,-34495861,-1189512.448275862,1e-06,-1.189512448275862
30000000,-1190700,-35686561,-1189552.0333333334,-2e-06,-1.1895520333333334
31000000,-1190336,-36876897,-1189577.322580645,-2e-06,-1.1895773225806452
32000000,-1189731,-38066628,-1189582.125,1e-06,-1.189582125
33000000,-1191293,-39257921,-1189633.9696969697,-2e-06,-1.1896339696969698
34000000,-1193916,-40451837,-1189759.9117647058,-2e-06,-1.189759911764706
35000000,-1190152,-41641989,-1189771.1142857142,-2e-06,-1.1897711142857144
36000000,-1191018,-42833007,-1189805.75,-2e-06,-1.18980575
37000000,-1189815,-44022822,-1189806.0,-2e-06,-1.189806
38000000,-1193566,-45216388,-1189904.9473684211,0.0,-1.1899049473684211
39000000,-1188794,-46405182,-1189876.4615384615,-2e-06,-1.1898764615384616
40000000,-1190596,-47595778,-1189894.45,-2e-06,-1.18989445
41000000,-1192547,-48788325,-1189959.1463414633,-2e-06,-1.1899591463414634
42000000,-1190520,-49978845,-1189972.5,-2e-06,-1.1899725
43000000,-1192419,-51171264,-1190029.3953488371,-2e-06,-1.1900293953488372
44000000,-1189617,-52360881,-1190020.0227272727,-2e-06,-1.1900200227272728
45000000,-1190362,-53551243,-1190027.6222222222,-2e-06,-1.1900276222222221
46000000,-1189956,-54741199,-1190026.0652173914,-2e-06,-1.1900260652173913
47000000,-1188984,-55930183,-1190003.8936170214,-2e-06,-1.1900038936170212
48000000,-1189766,-57119949,-1189998.9375,-2e-06,-1.1899989375
49000000,-1191334,-58311283,-1190026.1836734693,1e-06,-1.1900261836734694
50000000,-1189292,-59500575,-1190011.5,-2e-06,-1.1900115
51000000,-1191098,-60691673,-1190032.8039215687,0.0,-1.1900328039215686
52000000,-1188438,-61880111,-1190002.1346153845,-2e-06,-1.1900021346153846
53000000,-1189672,-63069783,-1189995.9056603773,2e-06,-1.1899959056603773
54000000,-1189808,-64259591,-1189992.4259259258,-2e-06,-1.189992425925926
55000000,-1191284,-65450875,-1190015.9090909092,-2e-06,-1.190015909090909
56000000,-1189740,-66640615,-1190010.982142857,1e-05,-1.190010982142857
57000000,-1191710,-67832325,-1190040.7894736843,-2e-06,-1.1900407894736842
58000000,-1185457,-69017782,-1189961.7586206896,-2e-06,-1.1899617586206896
59000000,-1193632,-70211414,-1190023.9661016949,-2e-06,-1.190023966101695
60000000,-1189183,-71400597,-1190009.95,-2e-06,-1.19000995
61000000,-1191639,-72592236,-1190036.6557377048,2e-06,-1.190036655737705
62000000,-1190507,-73782743,-1190044.2419354839,-2e-06,-1.190044241935484
63000000,-1188042,-74970785,-1190012.4603174604,-2e-06,-1.1900124603174602
64000000,-1192633,-76163418,-1190053.40625,2e-06,-1.19005340625
65000000,-1187413,-77350831,-1190012.7846153846,-2e-06,-1.1900127846153845
66000000,-1193537,-78544368,-1190066.1818181819,-2e-06,-1.190066181818182
67000000,-1191702,-79736070,-1190090.5970149254,-2e-06,-1.1900905970149254
68000000,-1190067,-80926137,-1190090.25,1e-06,-1.19009025
69000000,-1189242,-82115379,-1190077.956521739,-2e-06,-1.1900779565217392
70000000,-1190744,-83306123,-1190087.4714285715,-2e-06,-1.1900874714285714
71000000,-1188436,-84494559,-1190064.2112676057,-2e-06,-1.1900642112676056
72000000,-1192807,-85687366,-1190102.3055555555,-2e-06,-1.1901023055555555
73000000,-1187248,-86874614,-1190063.2054794522,-2e-06,-1.190063205479452
74000000,-1190463,-88065077,-1190068.6081081082,-2e-06,-1.1900686081081082
75000000,-1189557,-89254634,-1190061.7866666666,-2e-06,-1.1900617866666667
76000000,-1190477,-90445111,-1190067.25,-2e-06,-1.19006725
77000000,-1192112,-91637223,-1190093.8051948051,0.0,-1.1900938051948051
78000000,-1191284,-92828507,-1190109.064102564,0.0,-1.190109064102564
79000000,-1189462,-94017969,-1190100.8734177216,-2e-06,-1.1901008734177214
80000000,-1191125,-95209094,-1190113.675,-2e-06,-1.190113675
81000000,-1190432,-96399526,-1190117.6049382717,-2e-06,-1.1901176049382716
82000000,-1189589,-97589115,-1190111.1585365853,-2e-06,-1.1901111585365853
83000000,-1189618,-98778733,-1190105.21686747,1e-06,-1.19010521686747
84000000,-1190625,-99969358,-1190111.4047619049,-2e-06,-1.1901114047619048
85000000,-1194269,-101163627,-1190160.3176470587,-2e-06,-1.1901603176470588
86000000,-1191478,-102355105,-1190175.6395348837,-2e-06,-1.1901756395348837
87000000,-1192552,-103547657,-1190202.9540229884,-2e-06,-1.1902029540229886
88000000,-1188837,-104736494,-1190187.4318181819,0.0,-1.1901874318181818
89000000,-1190192,-105926686,-1190187.4831460675,-2e-06,-1.1901874831460675
90000000,-1187774,-107114460,-1190160.6666666667,-2e-06,-1.1901606666666666
91000000,-1190253,-108304713,-1190161.6813186812,-2e-06,-1.1901616813186813
92000000,-1190257,-109494970,-1190162.7173913044,-2e-06,-1.1901627173913043
93000000,-1192142,-110687112,-1190184.0,-2e-06,-1.190184
94000000,-1189512,-111876624,-1190176.8510638298,0.0,-1.1901768510638298
95000000,-1192727,-113069351,-1190203.694736842,-2e-06,-1.1902036947368422
96000000,-1186259,-114255610,-1190162.6041666667,-2e-06,-1.1901626041666666
97000000,-1188934,-115444544,-1190149.93814433,-2e-06,-1.19014993814433
98000000,-1190234,-116634778,-1190150.7959183673,-2e-06,-1.1901507959183673
99000000,-1188106,-117822884,-1190130.1414141415,2e-06,-1.1901301414141414
100000000,-1192239,-119015123,-1190151.23,-2e-06,-1.19015123
101000000,-1191132,-120206255,-1190160.9405940594,-2e-06,-1.1901609405940594
102000000,-1191581,-121397836,-1190174.862745098,-2e-06,-1.190174862745098
103000000,-1190546,-122588382,-1190178.4660194174,-2e-06,-1.1901784660194175
104000000,-1187641,-123776023,-1190154.0673076923,0.0,-1.1901540673076922
105000000,-1191814,-124967837,-1190169.8761904761,-2e-06,-1.1901698761904762
106000000,-1190107,-126157944,-1190169.283018868,-2e-06,-1.190169283018868
107000000,-1190514,-127348458,-1190172.5046728973,-2e-06,-1.1901725046728973
108000000,-1193006,-128541464,-1190198.7407407407,-2e-06,-1.1901987407407408
109000000,-1190075,-129731539,-1190197.605504587,-2e-06,-1.190197605504587
110000000,-1192594,-130924133,-1190219.3909090909,1e-06,-1.190219390909091
111000000,-1189969,-132114102,-1190217.1351351351,2e-06,-1.1902171351351352
112000000,-1188681,-133302783,-1190203.419642857,2e-06,-1.1902034196428573
113000000,-1187865,-134490648,-1190182.725663717,-2e-06,-1.1901827256637167
114000000,-1187413,-135678061,-1190158.4298245613,-2e-06,-1.1901584298245613
115000000,-1188252,-136866313,-1190141.852173913,-2e-06,-1.190141852173913
116000000,-1190351,-138056664,-1190143.6551724137,-2e-06,-1.1901436551724138
117000000,-1192301,-139248965,-1190162.094017094,-2e-06,-1.190162094017094
118000000,-1190827,-140439792,-1190167.7288135593,-2e-06,-1.1901677288135593
119000000,-1190626,-141630418,-1190171.5798319327,-2e-06,-1.1901715798319328
120000000,-1188653,-142819071,-1190158.925,-2e-06,-1.190158925
121000000,-1193249,-144012320,-1190184.4628099173,-2e-06,-1.1901844628099174
122000000,-1191080,-145203400,-1190191.8032786886,0.0,-1.1901918032786885
123000000,-1189055,-146392455,-1190182.5609756098,-2e-06,-1.1901825609756098
124000000,-1186309,-147578764,-1190151.322580645,-2e-06,-1.1901513225806453
125000000,-1189168,-148767932,-1190143.456,-2e-06,-1.190143456
126000000,-1189757,-149957689,-1190140.388888889,-2e-06,-1.1901403888888888
127000000,-1187740,-151145429,-1190121.4881889764,-2e-06,-1.1901214881889763
128000000,-1189431,-152334860,-1190116.09375,-2e-06,-1.19011609375
129000000,-1189749,-153524609,-1190113.2480620155,-2e-06,-1.1901132480620156
130000000,-1192474,-154717083,-1190131.4076923076,-2e-06,-1.1901314076923077
131000000,-1190622,-155907705,-1190135.1526717558,-2e-06,-1.1901351526717556
132000000,-1189705,-157097410,-1190131.893939394,-2e-06,-1.190131893939394
133000000,-1187830,-158285240,-1190114.5864661655,0.0,-1.1901145864661653
134000000,-1191522,-159476762,-1190125.0895522388,-2e-06,-1.1901250895522388
135000000,-1190259,-160667021,-1190126.0814814814,-2e-06,-1.1901260814814816
136000000,-1188875,-161855896,-1190116.8823529412,-2e-06,-1.190116882352941
137000000,-1187569,-163043465,-1190098.284671533,-2e-06,-1.190098284671533
138000000,-1190373,-164233838,-1190100.2753623188,-2e-06,-1.1901002753623189
139000000,-1192759,-165426597,-1190119.402877698,-2e-06,-1.1901194028776978
140000000,-1189526,-166616123,-1190115.1642857143,-2e-06,-1.1901151642857142
141000000,-1190624,-167806747,-1190118.7730496454,1e-06,-1.1901187730496454
142000000,-1191067,-168997814,-1190125.4507042253,-2e-06,-1.1901254507042254
143000000,-1193043,-170190857,-1190145.8531468532,1e-06,-1.1901458531468532
144000000,-1188867,-171379724,-1190136.9722222222,1e-06,-1.1901369722222221
145000000,-1189226,-172568950,-1190130.6896551724,-2e-06,-1.1901306896551724
146000000,-1190127,-173759077,-1190130.6643835616,-2e-06,-1.1901306643835616
147000000,-1189584,-174948661,-1190126.9455782312,2e-06,-1.1901269455782313
148000000,-1190880,-176139541,-1190132.0337837837,-2e-06,-1.1901320337837837
149000000,-1190583,-177330124,-1190135.0604026846,-2e-06,-1.1901350604026846
150000000,-1185134,-178515258,-1190101.72,-2e-06,-1.19010172
151000000,-1188719,-179703977,-1190092.5629139072,1e-06,-1.1900925629139072
152000000,-1190606,-180894583,-1190095.9407894737,1e-06,-1.1900959407894738
153000000,-1189954,-182084537,-1190095.0130718953,0.0,-1.1900950130718955
154000000,-1190242,-183274779,-1190095.9675324676,1e-06,-1.1900959675324676
155000000,-1190777,-184465556,-1190100.3612903226,-2e-06,-1.1901003612903225
156000000,-1189908,-185655464,-1190099.1282051282,-2e-06,-1.1900991282051283
157000000,-1188241,-186843705,-1190087.2929936305,-2e-06,-1.1900872929936306
158000000,-1192815,-188036520,-1190104.5569620254,-2e-06,-1.1901045569620252
159000000,-1187454,-189223974,-1190087.8867924528,-2e-06,-1.190087886792453
160000000,-1190023,-190413997,-1190087.48125,0.0,-1.19008748125
161000000,-1190899,-191604896,-1190092.5217391304,1e-06,-1.1900925217391305
162000000,-1190864,-192795760,-1190097.2839506173,-2e-06,-1.1900972839506172
163000000,-1192893,-193988653,-1190114.4355828222,-2e-06,-1.1901144355828221
164000000,-1189125,-195177778,-1190108.4024390243,-2e-06,-1.1901084024390245
165000000,-1191449,-196369227,-1190116.5272727273,-2e-06,-1.1901165272727272
166000000,-1188268,-197557495,-1190105.3915662651,-2e-06,-1.1901053915662652
167000000,-1190616,-198748111,-1190108.4491017964,0.0,-1.1901084491017964
168000000,-1191701,-199939812,-1190117.9285714286,1e-06,-1.1901179285714285
169000000,-1189397,-201129209,-1190113.6627218935,-2e-06,-1.1901136627218936
170000000,-1188061,-202317270,-1190101.5882352942,-2e-06,-1.190101588235294
171000000,-1189063,-203506333,-1190095.5146198831,-2e-06,-1.190095514619883
172000000,-1190501,-204696834,-1190097.8720930233,2e-06,-1.1900978720930233
173000000,-1190859,-205887693,-1190102.2716763006,1e-06,-1.1901022716763006
174000000,-1188943,-207076636,-1190095.6091954024,-2e-06,-1.1900956091954022
175000000,-1190093,-208266729,-1190095.5942857142,0.0,-1.1900955942857143
176000000,-1188367,-209455096,-1190085.7727272727,2e-06,-1.1900857727272727
177000000,-1188997,-210644093,-1190079.6214689265,-2e-06,-1.1900796214689267
178000000,-1191041,-211835134,-1190085.02247191,1e-06,-1.1900850224719102
179000000,-1191112,-213026246,-1190090.7597765364,-2e-06,-1.1900907597765362
180000000,-1192349,-214218595,-1190103.3055555555,-2e-06,-1.1901033055555557
181000000,-1190290,-215408885,-1190104.3370165746,-2e-06,-1.1901043370165745
182000000,-1189927,-216598812,-1190103.3626373627,0.0,-1.1901033626373627
183000000,-1190676,-217789488,-1190106.4918032787,-2e-06,-1.1901064918032787
184000000,-1189943,-218979431,-1190105.6032608696,0.0,-1.1901056032608697
185000000,-1191106,-220170537,-1190111.0108108108,-2e-06,-1.1901110108108108
186000000,-1189064,-221359601,-1190105.3817204302,-2e-06,-1.1901053817204301
187000000,-1189740,-222549341,-1190103.4278074866,1e-06,-1.1901034278074867
188000000,-1191095,-223740436,-1190108.7021276595,-2e-06,-1.1901087021276595
189000000,-1189545,-224929981,-1190105.7195767197,-2e-06,-1.1901057195767195
190000000,-1185746,-226115727,-1190082.7736842106,-2e-06,-1.1900827736842106
191000000,-1192161,-227307888,-1190093.6544502617,-2e-06,-1.1900936544502618
192000000,-1188289,-228496177,-1190084.2552083333,1e-06,-1.1900842552083333
193000000,-1189980,-229686157,-1190083.7150259067,-2e-06,-1.1900837150259067
194000000,-1192302,-230878459,-1190095.1494845361,0.0,-1.190095149484536
195000000,-1189487,-232067946,-1190092.0307692308,-2e-06,-1.1900920307692309
196000000,-1191685,-233259631,-1190100.1581632653,-2e-06,-1.1901001581632653
197000000,-1192442,-234452073,-1190112.0456852792,-2e-06,-1.1901120456852792
198000000,-1187777,-235639850,-1190100.2525252525,1e-06,-1.1901002525252524
199000000,-1189939,-236829789,-1190099.4422110552,-2e-06,-1.1900994422110553
200000000,-1188741,-238018530,-1190092.65,-2e-06,-1.19009265
201000000,-1188423,-239206953,-1190084.343283582,-2e-06,-1.1900843432835821
202000000,-1190062,-240397015,-1190084.2326732674,-2e-06,-1.1900842326732672
203000000,-1188457,-241585472,-1190076.2167487685,-2e-06,-1.1900762167487684
204000000,-1191431,-242776903,-1190082.8578431373,-2e-06,-1.1900828578431373
205000000,-1189586,-243966489,-1190080.4341463414,1e-06,-1.1900804341463416
206000000,-1189091,-245155580,-1190075.6310679612,-2e-06,-1.1900756310679612
207000000,-1191416,-246346996,-1190082.1062801932,2e-06,-1.1900821062801932
208000000,-1191493,-247538489,-1190088.889423077,-2e-06,-1.190088889423077
209000000,-1193735,-248732224,-1190106.3349282297,-2e-06,-1.1901063349282297
210000000,-1188203,-249920427,-1190097.2714285713,1e-06,-1.1900972714285714
211000000,-1190105,-251110532,-1190097.308056872,-2e-06,-1.190097308056872
212000000,-1190397,-252300929,-1190098.7216981133,-2e-06,-1.1900987216981131
213000000,-1185973,-253486902,-1190079.352112676,0.0,-1.190079352112676
214000000,-1185631,-254672533,-1190058.5654205608,-2e-06,-1.1900585654205607
215000000,-1189669,-255862202,-1190056.753488372,-2e-06,-1.1900567534883721
216000000,-1189505,-257051707,-1190054.1990740742,-2e-06,-1.190054199074074
217000000,-1190222,-258241929,-1190054.9723502304,-2e-06,-1.1900549723502305
218000000,-1188153,-259430082,-1190046.2477064221,1e-06,-1.190046247706422
219000000,-1190237,-260620319,-1190047.1187214612,-2e-06,-1.1900471187214612
220000000,-1191998,-261812317,-1190055.9863636363,-2e-06,-1.1900559863636364
221000000,-1189536,-263001853,-1190053.6334841629,0.0,-1.190053633484163
222000000,-1189018,-264190871,-1190048.9684684684,-2e-06,-1.1900489684684685
223000000,-1191517,-265382388,-1190055.5515695068,-2e-06,-1.1900555515695068
224000000,-1189549,-266571937,-1190053.2901785714,-2e-06,-1.1900532901785714
225000000,-1192747,-267764684,-1190065.2622222223,-2e-06,-1.1900652622222223
226000000,-1191181,-268955865,-1190070.1991150442,-2e-06,-1.1900701991150442
227000000,-1190465,-270146330,-1190071.9383259912,-2e-06,-1.1900719383259912
228000000,-1191405,-271337735,-1190077.7850877193,-2e-06,-1.1900777850877193
229000000,-1189111,-272526846,-1190073.5633187774,-2e-06,-1.1900735633187773
230000000,-1188731,-273715577,-1190067.7260869564,-2e-06,-1.1900677260869565
231000000,-1190114,-274905691,-1190067.9264069265,-2e-06,-1.1900679264069265
232000000,-1189817,-276095508,-1190066.8448275863,-2e-06,-1.1900668448275862
233000000,-1189065,-277284573,-1190062.5450643776,-2e-06,-1.1900625450643776
234000000,-1190614,-278475187,-1190064.9017094017,-2e-06,-1.1900649017094016
235000000,-1190990,-279666177,-1190068.8382978723,-2e-06,-1.1900688382978724
236000000,-1189743,-280855920,-1190067.4576271186,0.0,-1.1900674576271186
237000000,-1191091,-282047011,-1190071.776371308,-2e-06,-1.190071776371308
238000000,-1188181,-283235192,-1190063.831932773,0.0,-1.1900638319327732
239000000,-1187578,-284422770,-1190053.430962343,0.0,-1.1900534309623432
240000000,-1191391,-285614161,-1190059.0041666667,0.0,-1.1900590041666668
241000000,-1188518,-286802679,-1190052.6099585062,-2e-06,-1.1900526099585063
242000000,-1193321,-287996000,-1190066.1157024794,0.0,-1.1900661157024794
243000000,-1189545,-289185545,-1190063.9711934156,-2e-06,-1.1900639711934156
244000000,-1190047,-290375592,-1190063.9016393442,-2e-06,-1.1900639016393442
245000000,-1192638,-291568230,-1190074.4081632653,-2e-06,-1.1900744081632653
